FIPS,Year,Urban,Total_Population,P_WH,P_AA,P_AI,P_AS,P_NH,P_OR,P_2R,P_Latino,P_Native,P_FB,P_Citizen,P_Noncitizen,P_NoSchool,P_HS_No_Degree,P_HS_or_GED,P_Some_College,P_College_Degree,P_Masters_Prof_Doc,P_Other,P_Limited_Eng,Poverty_Rate,MED_HH_Income,UE_Rate,P_UI,P_Insured,P_UI_Under_18,P_UI_18-64,P_UI_65_Over,P_Any_Private_Ins,P_Any_Public_Ins,P_Medicare_Alone,P_Medicaid_Alone,Resp_HI,Low_Access,Park_Distance,Walkscore,Walkscore_Percentile,Tob_Retailer_Per_1000,Felony_Per_1000,GINI,SVI_Themes_Total,SVI_Flags,Housing_Violations_Per_1000,Voter Turnout,Turnout Quartile
36005004600,2016,1,1659,0.26,0.39,0.01,0.0,0.0,0.33,0.02,0.61,0.88,0.12,0.94,0.06,0.03,0.03,0.27,0.22,0.17,0.07,0.21,0.14,0.23,44297,0.12,0.13,0.87,0.01,0.22,0.02,0.43,0.54,0.07,0.25,3.415,0,0.77977625,-2.381,1,4,80,0.4237,0.8692,2,136,0.19,1
36005004800,2016,1,4024,0.14,0.22,0.0,0.04,0.0,0.51,0.09,0.75,0.52,0.48,0.61,0.39,0.08,0.09,0.22,0.13,0.09,0.01,0.38,0.36,0.41,24437,0.10,0.27,0.73,0.06,0.40,0.08,0.22,0.57,0.03,0.41,3.52,0,1.134050625,0.4495,3,1,19,0.4483,0.9532,6,769,0.19,1
36005005001,2016,1,5040,0.1,0.46,0.0,0.0,0.0,0.37,0.07,0.58,0.6,0.4,0.73,0.27,0.02,0.02,0.26,0.13,0.15,0.02,0.4,0.19,0.36,31250,0.16,0.20,0.80,0.04,0.28,0.12,0.39,0.59,0.01,0.39,3.498,0,,-0.9758,2,0,11,0.4696,0.9932,7,,0.19,1
36005005002,2016,1,5791,0.18,0.2,0.02,0.03,0.0,0.52,0.05,0.75,0.42,0.58,0.56,0.44,0.06,0.04,0.24,0.16,0.09,0.02,0.4,0.39,0.42,29338,0.12,0.32,0.68,0.18,0.40,0.00,0.27,0.48,0.01,0.36,3.43,0,,1.7818,4,2,11,0.4522,0.9641,7,,0.19,1
36005005100,2016,1,5814,0.13,0.38,0.02,0.0,0.0,0.46,0.01,0.68,0.77,0.23,0.87,0.13,0.05,0.03,0.28,0.15,0.11,0.02,0.36,0.20,0.43,20233,0.22,0.13,0.88,0.04,0.19,0.00,0.29,0.65,0.02,0.49,3.942,0,,3.4817,5,2,26,0.4446,0.9938,10,12,0.18,1
36005005200,2016,1,2128,0.17,0.27,0.0,0.02,0.0,0.41,0.12,0.72,0.67,0.33,0.86,0.14,0.06,0.03,0.3,0.19,0.08,0.02,0.32,0.26,0.47,16810,0.20,0.11,0.89,0.00,0.19,0.00,0.36,0.63,0.05,0.38,3.238,0,1.158401463,1.0581,4,2,16,0.6133,0.9926,6,114,0.19,1
36005005300,2016,1,3305,0.05,0.55,0.02,0.0,0.0,0.29,0.09,0.43,0.81,0.19,0.9,0.1,0.01,0.05,0.25,0.18,0.23,0.04,0.24,0.22,0.56,16173,0.31,0.10,0.90,0.05,0.14,0.00,0.32,0.68,0.01,0.50,5.138,0,,1.7834,4,0,16,0.425,0.9542,8,,0.2,1
36005005400,2016,1,6334,0.16,0.27,0.0,0.02,0.0,0.43,0.12,0.72,0.51,0.49,0.63,0.37,0.04,0.04,0.28,0.18,0.09,0.01,0.36,0.24,0.35,32254,0.08,0.30,0.70,0.03,0.42,0.06,0.25,0.50,0.02,0.39,3.092,0,1.178590563,2.5481,5,0,21,0.4696,0.9117,5,670,0.19,1
36005005600,2016,1,2391,0.16,0.26,0.0,0.02,0.0,0.5,0.07,0.69,0.59,0.41,0.76,0.24,0.04,0.07,0.36,0.13,0.07,0.01,0.32,0.30,0.40,17708,0.16,0.14,0.86,0.03,0.24,0.00,0.34,0.62,0.02,0.36,3.097,0,1.144099272,3.3816,5,0,14,0.5665,0.9948,5,1067,0.19,1
36005005902,2016,1,2856,0.16,0.32,0.02,0.0,0.0,0.43,0.08,0.71,0.61,0.39,0.78,0.22,0.03,0.02,0.27,0.21,0.1,0.04,0.29,0.28,0.28,38244,0.16,0.11,0.89,0.02,0.15,0.00,0.36,0.60,0.02,0.44,3.914,0,0.256203705,2.8605,5,1,5,0.4451,0.8791,4,670,0.18,1
36005006000,2016,1,1192,0.12,0.19,0.0,0.01,0.0,0.68,0.0,0.83,0.65,0.35,0.8,0.2,0.04,0.02,0.35,0.12,0.22,0.04,0.21,0.09,0.27,43125,0.06,0.12,0.88,0.00,0.17,0.07,0.58,0.44,0.01,0.23,3.418,0,1.109495466,3.1388,5,1,25,0.4016,0.8032,2,498,0.2,1
36005006100,2016,1,4007,0.04,0.85,0.0,0.0,0.0,0.06,0.05,0.13,0.87,0.13,0.99,0.01,0.01,0.03,0.23,0.23,0.29,0.12,0.08,0.05,0.11,47993,0.12,0.08,0.92,0.00,0.14,0.00,0.71,0.41,0.05,0.12,3.748,0,0.438476465,4.4486,5,0,8,0.3643,0.6588,3,,0.18,1
36005006200,2016,1,7682,0.09,0.39,0.0,0.0,0.0,0.41,0.1,0.71,0.67,0.33,0.77,0.23,0.08,0.06,0.26,0.16,0.09,0.03,0.32,0.30,0.38,24668,0.13,0.21,0.79,0.00,0.33,0.06,0.26,0.63,0.03,0.46,3.502,0,1.280536615,2.8437,5,1,13,0.4481,0.9701,7,420,0.2,1
36005006300,2016,1,4480,0.29,0.27,0.01,0.09,0.0,0.32,0.02,0.65,0.64,0.36,0.81,0.19,0.02,0.03,0.21,0.19,0.18,0.03,0.32,0.21,0.32,33809,0.14,0.14,0.86,0.00,0.21,0.00,0.42,0.51,0.03,0.36,3.75,0,,3.4099,5,3,69,0.4508,0.9612,6,662,0.18,1
36005006400,2016,1,3565,0.18,0.35,0.01,0.06,0.0,0.34,0.06,0.54,0.65,0.35,0.86,0.14,0.02,0.02,0.3,0.14,0.3,0.02,0.2,0.15,0.37,27048,0.13,0.17,0.83,0.03,0.25,0.00,0.40,0.53,0.02,0.38,3.95,0,1.375206355,2.9146,5,1,12,0.5136,0.9645,2,171,0.2,1
36005006500,2016,1,5847,0.13,0.38,0.0,0.01,0.0,0.48,0.01,0.59,0.67,0.33,0.77,0.23,0.03,0.03,0.35,0.17,0.12,0.01,0.3,0.28,0.46,21959,0.14,0.20,0.80,0.04,0.30,0.00,0.24,0.60,0.03,0.49,3.697,0,0.647784214,3.9317,5,4,43,0.4643,0.9732,8,398,0.18,1
36005006700,2016,1,7782,0.13,0.38,0.05,0.0,0.01,0.4,0.03,0.66,0.56,0.44,0.68,0.32,0.04,0.01,0.31,0.08,0.07,0.02,0.47,0.33,0.43,21443,0.17,0.25,0.76,0.03,0.37,0.16,0.22,0.60,0.02,0.46,3.616,0,0.681372554,3.5154,5,1,18,0.5096,0.9829,10,211,0.18,1
36005006800,2016,1,2976,0.11,0.36,0.0,0.04,0.0,0.33,0.16,0.55,0.59,0.41,0.76,0.24,0.06,0.02,0.32,0.22,0.2,0.01,0.17,0.15,0.29,31607,0.12,0.25,0.75,0.09,0.38,0.06,0.39,0.45,0.03,0.30,3.653,0,1.36651743,1.5209,4,2,24,0.4174,0.8667,2,466,0.2,1
36005006900,2016,1,7769,0.1,0.45,0.01,0.02,0.0,0.39,0.04,0.59,0.71,0.29,0.83,0.17,0.03,0.01,0.19,0.2,0.17,0.06,0.34,0.32,0.43,19824,0.18,0.12,0.88,0.01,0.20,0.01,0.28,0.67,0.01,0.52,3.564,0,0.698519657,2.9885,5,1,11,0.5074,0.9998,10,62,0.18,1
