FIPS,Urban,Total_Population,P_WH,P_AA,P_AI,P_AS,P_NH,P_OR,P_2R,P_Latino,P_Native,P_FB,P_Citizen,P_Noncitizen,P_NoSchool,P_HS_No_Degree,P_HS_or_GED,P_Some_College,P_College_Degree,P_Masters_Prof_Doc,P_Other,P_Limited_Eng,Poverty_Rate,MED_HH_income,UE_Rate,P_UI,P_Insured,P_UI_Under_18,P_UI_18-64,P_UI_65_Over,P_Any_Private_Ins,P_Any_Public_Ins,P_Medicare_Alone,P_Medicaid_Alone,Resp_HI,Low_access,Park_distance,Walkscore,Walkscore_percentile,Tob_retailer_per_1000,felony_per_1000,GINI,SVI_themes_total,SVI_flags,serious_housing_violations_per_1000,total_housing_violations_per_1000,Voter Turnout,Turnout quartile,
36047031900,1,3841,0.38,0.60,0.000,0.00,0.000,0.01,0.01,0.10,0.71,0.29,0.89,0.11,0.01,0.05,0.21,0.24,0.28,0.13,0.09,0.03,0.31,48375,0.12,0.12,0.88,0.00,0.21,0.00,0.51,0.46,0.03,0.31,3.168,0,0.851808884,0.2457,3,0,15,0.4009,0.7962,1,0.1303,0.6381,0.25,3,
36047032100,1,6006,0.19,0.71,0.000,0.03,0.000,0.06,0.01,0.12,0.58,0.42,0.83,0.17,0.04,0.11,0.19,0.18,0.29,0.12,0.07,0.09,0.24,42025,0.16,0.15,0.86,0.06,0.20,0.00,0.52,0.40,0.06,0.23,3.238,0,0.777037215,0.8383,4,1,23,0.5465,0.9524,1,0.5210,2.1649,0.25,3,
36047032300,1,3823,0.13,0.77,0.000,0.02,0.000,0.03,0.04,0.11,0.66,0.34,0.87,0.13,0.00,0.04,0.25,0.18,0.32,0.13,0.07,0.09,0.19,63882,0.15,0.14,0.86,0.02,0.19,0.02,0.61,0.33,0.03,0.19,3.231,0,0.620534868,0.8097,4,2,22,0.4431,0.6252,1,0.2176,1.1591,0.28,3,
36047032500,1,6538,0.07,0.87,0.021,0.03,0.000,0.01,0.00,0.06,0.58,0.42,0.86,0.14,0.02,0.04,0.29,0.26,0.20,0.09,0.09,0.06,0.15,47559,0.11,0.12,0.88,0.07,0.15,0.00,0.55,0.41,0.07,0.25,3.475,0,0.44238359,0.6966,4,1,17,0.4655,0.7457,2,0.2902,2.0116,0.28,3,
36047032600,1,7167,0.28,0.35,0.007,0.15,0.000,0.13,0.08,0.34,0.78,0.22,0.92,0.08,0.04,0.03,0.32,0.13,0.14,0.03,0.30,0.18,0.39,24205,0.20,0.07,0.93,0.04,0.10,0.00,0.31,0.67,0.02,0.52,2.403,0,0.714478409,-1.2637,2,2,37,0.5036,0.9633,6,0.2440,0.8739,0.26,3,
36047032700,1,2509,0.19,0.71,0.000,0.02,0.000,0.07,0.01,0.18,0.57,0.43,0.84,0.16,0.03,0.04,0.28,0.14,0.28,0.14,0.10,0.09,0.19,44618,0.10,0.06,0.94,0.00,0.09,0.02,0.57,0.46,0.07,0.25,3.402,0,0.581956359,-0.2829,3,3,34,0.4949,0.6834,0,0.1566,0.6266,0.28,3,
36047032800,1,2457,0.21,0.31,0.015,0.36,0.000,0.09,0.01,0.17,0.52,0.48,0.87,0.13,0.06,0.05,0.26,0.19,0.18,0.04,0.23,0.24,0.15,54056,0.18,0.08,0.92,0.00,0.12,0.00,0.50,0.46,0.09,0.23,2.354,0,0.508366608,-3.0402,1,2,33,0.6497,0.8651,3,0.1402,0.5227,0.26,3,
36047032900,1,5997,0.34,0.54,0.000,0.01,0.014,0.07,0.02,0.13,0.59,0.41,0.81,0.19,0.03,0.04,0.21,0.21,0.23,0.16,0.13,0.10,0.23,44559,0.11,0.08,0.92,0.03,0.12,0.00,0.53,0.45,0.05,0.29,3.424,0,0.956014921,0.1412,3,1,17,0.44,0.7828,3,0.2012,0.9184,0.25,3,
36047033000,0,4606,0.29,0.52,0.000,0.05,0.000,0.11,0.03,0.27,0.69,0.31,0.90,0.10,0.03,0.07,0.29,0.14,0.21,0.04,0.22,0.25,0.38,23438,0.24,0.07,0.93,0.05,0.09,0.00,0.34,0.68,0.03,0.45,2.353,0,0.482536612,-3.1499,1,0,30,0.5729,0.9505,6,0.0165,0.1055,0.26,3,
36047033100,1,4058,0.60,0.37,0.000,0.00,0.000,0.02,0.01,0.04,0.58,0.42,0.89,0.11,0.03,0.05,0.32,0.22,0.17,0.13,0.07,0.15,0.12,37405,0.13,0.12,0.88,0.05,0.17,0.02,0.52,0.51,0.04,0.27,3.249,0,0.921435893,0.3095,3,0,16,0.4485,0.7011,1,0.0693,0.4765,0.25,3,
36047033300,1,4736,0.67,0.29,0.003,0.00,0.000,0.02,0.02,0.05,0.73,0.27,0.91,0.09,0.01,0.03,0.29,0.22,0.25,0.15,0.05,0.08,0.23,42972,0.07,0.06,0.94,0.03,0.09,0.02,0.58,0.46,0.04,0.29,3.125,0,0.86326853,0.0942,3,0,7,0.4379,0.585,1,0.1303,0.4567,0.25,3,
36047033500,1,3033,0.67,0.27,0.000,0.01,0.000,0.03,0.03,0.11,0.70,0.30,0.86,0.14,0.01,0.03,0.24,0.16,0.34,0.17,0.05,0.03,0.15,52833,0.13,0.06,0.94,0.04,0.08,0.00,0.60,0.44,0.04,0.28,3.085,0,0.786071105,0.1201,3,0,15,0.4205,0.8195,2,0.0824,0.2885,0.25,3,
36047033600,1,3940,0.81,0.08,0.000,0.03,0.000,0.01,0.07,0.13,0.60,0.40,0.89,0.11,0.01,0.03,0.15,0.13,0.33,0.27,0.08,0.14,0.09,71806,0.09,0.13,0.87,0.09,0.16,0.03,0.53,0.41,0.05,0.21,2.203,1,0.937283862,-3.4153,1,0,8,0.4667,0.7712,0,0.0214,0.2028,0.26,3,
